"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","stim_order","rt","stimulus","response","participantId","interview_date","handedness","version","difficulty","stimulus_set","selected_stim","index","deck_probabilities","key_press","reward_type","reversal_type","reward_tally","phase","total_earnings"
"","","","","","html-keyboard-response","55","97677","0.0-13.0-1.11","[""unknown"",""unknown"",""unknown""]","485","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/0/black.jpg'>
                <img class='stimuli-middle' src='stim/loss/0/red.jpg'>
                <img class='stimuli-right' src='stim/loss/0/blu.jpg'>
            </div>","1","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","56","98680","0.0-13.0-2.11","[""unknown"",""unknown"",""unknown""]","485","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/outcome/scaled_win.png'>
                <img class='stimuli-middle' src='stim/loss/0/red.jpg'>
                <img class='stimuli-right' src='stim/loss/0/blu.jpg'>
            </div>","1","62d59a066ee263bb659aa445","04/01/2026","right","loss","stable-stable","0","unknown","12","0.8,0.2,0.4","49","true","false","-400","0",""
"","","","","","html-keyboard-response","57","99191","0.0-13.0-0.12","[""unknown"",""unknown"",""unknown""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","58","100941","0.0-13.0-1.12","[""unknown"",""unknown"",""unknown""]","1749","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/0/black.jpg'>
                <img class='stimuli-middle' src='stim/loss/0/red.jpg'>
                <img class='stimuli-right' src='stim/loss/0/blu.jpg'>
            </div>","1","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","59","101943","0.0-13.0-2.12","[""unknown"",""unknown"",""unknown""]","1749","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/outcome/scaled_lose.png'>
                <img class='stimuli-middle' src='stim/loss/0/red.jpg'>
                <img class='stimuli-right' src='stim/loss/0/blu.jpg'>
            </div>","1","62d59a066ee263bb659aa445","04/01/2026","right","loss","stable-stable","0","unknown","13","0.8,0.2,0.4","49","false","false","-450","0",""
"","","","","","html-keyboard-response","60","102445","0.0-13.0-0.13","[""unknown"",""unknown"",""unknown""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","61","103068","0.0-13.0-1.13","[""unknown"",""unknown"",""unknown""]","622","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/0/black.jpg'>
                <img class='stimuli-middle' src='stim/loss/0/red.jpg'>
                <img class='stimuli-right' src='stim/loss/0/blu.jpg'>
            </div>","2","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","62","104070","0.0-13.0-2.13","[""unknown"",""unknown"",""unknown""]","622","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/0/black.jpg'>
                <img class='stimuli-middle' src='stim/loss/outcome/scaled_lose.png'>
                <img class='stimuli-right' src='stim/loss/0/blu.jpg'>
            </div>","2","62d59a066ee263bb659aa445","04/01/2026","right","loss","stable-stable","0","unknown","14","0.8,0.2,0.4","50","false","false","-500","0",""
"","","","","","html-keyboard-response","63","104571","0.0-13.0-0.14","[""unknown"",""unknown"",""unknown""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","64","104930","0.0-13.0-1.14","[""unknown"",""unknown"",""unknown""]","358","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/0/black.jpg'>
                <img class='stimuli-middle' src='stim/loss/0/red.jpg'>
                <img class='stimuli-right' src='stim/loss/0/blu.jpg'>
            </div>","3","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","65","105931","0.0-13.0-2.14","[""unknown"",""unknown"",""unknown""]","358","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/0/black.jpg'>
                <img class='stimuli-middle' src='stim/loss/0/red.jpg'>
                <img class='stimuli-right' src='stim/loss/outcome/scaled_lose.png'>
            </div>","3","62d59a066ee263bb659aa445","04/01/2026","right","loss","stable-stable","0","unknown","15","0.8,0.2,0.4","51","false","false","-550","0",""
"","","","","","html-keyboard-response","66","106433","0.0-13.0-0.15","[""unknown"",""unknown"",""unknown""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","67","106860","0.0-13.0-1.15","[""unknown"",""unknown"",""unknown""]","427","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/0/black.jpg'>
                <img class='stimuli-middle' src='stim/loss/0/red.jpg'>
                <img class='stimuli-right' src='stim/loss/0/blu.jpg'>
            </div>","3","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","68","107862","0.0-13.0-2.15","[""unknown"",""unknown"",""unknown""]","427","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/0/black.jpg'>
                <img class='stimuli-middle' src='stim/loss/0/red.jpg'>
                <img class='stimuli-right' src='stim/loss/outcome/scaled_lose.png'>
            </div>","3","62d59a066ee263bb659aa445","04/01/2026","right","loss","stable-stable","0","unknown","16","0.8,0.2,0.4","51","false","false","-600","0",""
"","","","","","html-keyboard-response","69","108363","0.0-13.0-0.16","[""unknown"",""unknown"",""unknown""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","70","108695","0.0-13.0-1.16","[""unknown"",""unknown"",""unknown""]","331","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/0/black.jpg'>
                <img class='stimuli-middle' src='stim/loss/0/red.jpg'>
                <img class='stimuli-right' src='stim/loss/0/blu.jpg'>
            </div>","2","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","71","109696","0.0-13.0-2.16","[""unknown"",""unknown"",""unknown""]","331","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/0/black.jpg'>
                <img class='stimuli-middle' src='stim/loss/outcome/scaled_lose.png'>
                <img class='stimuli-right' src='stim/loss/0/blu.jpg'>
            </div>","2","62d59a066ee263bb659aa445","04/01/2026","right","loss","stable-stable","0","unknown","17","0.8,0.2,0.4","50","false","false","-650","0",""
"","","","","","html-keyboard-response","72","110197","0.0-13.0-0.17","[""unknown"",""unknown"",""unknown""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","73","110610","0.0-13.0-1.17","[""unknown"",""unknown"",""unknown""]","412","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/0/black.jpg'>
                <img class='stimuli-middle' src='stim/loss/0/red.jpg'>
                <img class='stimuli-right' src='stim/loss/0/blu.jpg'>
            </div>","1","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","74","111612","0.0-13.0-2.17","[""unknown"",""unknown"",""unknown""]","412","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/outcome/scaled_win.png'>
                <img class='stimuli-middle' src='stim/loss/0/red.jpg'>
                <img class='stimuli-right' src='stim/loss/0/blu.jpg'>
            </div>","1","62d59a066ee263bb659aa445","04/01/2026","right","loss","stable-stable","0","unknown","18","0.8,0.2,0.4","49","true","false","-650","0",""
